2014,全日本軽量級選手権,7,女子シングルスカル,予選C組,05/16 07:48,3,大垣共立銀行B,01:57.30,04:03.70,06:11.36,08:18.29,2,""
2014,全日本軽量級選手権,7,女子シングルスカル,予選C組,05/16 07:48,4,富山国際大学,02:00.90,04:09.12,06:19.09,08:27.71,5,""
2014,全日本軽量級選手権,7,女子シングルスカル,予選C組,05/16 07:48,5,成蹊大学A,02:01.21,04:11.65,06:22.68,08:34.31,3,""
2014,全日本軽量級選手権,7,女子シングルスカル,予選C組,05/16 07:48,6,一橋大学A,02:09.38,04:31.68,06:57.59,09:19.73,6,""
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,1,横浜商業高校,02:00.51,04:07.66,06:15.16,08:23.03,6,→Semi-Final
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,2,学習院大学,02:06.19,04:14.72,06:22.29,08:27.65,3,""
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,3,和歌山RC,02:01.90,04:09.87,06:21.62,08:34.97,5,""
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,4,立教大学B,02:04.31,04:13.46,06:27.57,08:42.11,2,""
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,5,東京経済大学B,02:04.95,04:17.95,06:32.48,08:45.10,1,""
2014,全日本軽量級選手権,8,女子シングルスカル,予選D組,05/16 07:56,6,一橋大学B,02:16.20,04:43.74,07:12.37,09:35.62,4,""
2014,全日本軽量級選手権,9,女子シングルスカル,予選E組,05/16 08:04,1,関西アーバン銀行,01:58.74,04:02.08,06:07.56,08:13.46,2,→Semi-Final
2014,全日本軽量級選手権,9,女子シングルスカル,予選E組,05/16 08:04,2,日本体育大学,02:06.18,04:14.27,06:21.39,08:28.27,6,""
2014,全日本軽量級選手権,9,女子シングルスカル,予選E組,05/16 08:04,3,中央大学,02:05.78,04:14.85,06:23.28,08:29.45,1,""
2014,全日本軽量級選手権,9,女子シングルスカル,予選E組,05/16 08:04,4,筑波大学A,02:04.30,04:14.52,06:26.41,08:35.40,4,""
